DAY,Section(DE),ROOM1,8-9,ROOM2,9-10,ROOM3,10-11,ROOM4,11-12,ROOM5,12-1,ROOM6,1-2,ROOM7,3-4,ROOM8,4-5,ROOM9,5-6
SAT,DMDW_CS-18,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-19,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-20,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-21,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-22,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-23,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-24,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-25,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-26,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-27,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-28,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-29,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-30,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-31,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-32,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-33,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-34,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-35,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-36,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-37,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DMDW_CS-38,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,AI_IT-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,AI_IT-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,AI_IT-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,AI_IT-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,AI_IT-5,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,BD_IT-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,BD_IT-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,BD_IT-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,BD_IT-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,CI_IT-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DSA_CE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DSA_CE-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,DSA_CE-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,CI_CE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,IOT_CE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,IOT_CE-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,AI_SE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,AI_SE-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,ML_SE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
SAT,ML_SE-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
