MON,CSE-21,B-306,CN,B-306,SE,B-306,EE,A-DL-106,DAA,A-DL-106,CN(L),A-DL-106,CN(L)
TUE,CSE-21,---,X,B-305,CN,B-305,SE,---,X,---,X,---,X
WED,CSE-21,A-DL-106,EE,A-DL-106,DAA(L),A-DL-106,DAA(L),---,X,---,X,---,X
THU,CSE-21,---,X,---,X,---,X,---,X,---,X,---,X
FRI,CSE-21,B-403,DAA,B-403,EE,B-403,SE,---,X,---,X,---,X
SAT,CSE-21,---,X,B-204,X,B-204,CN,B-204,SE,B-204,DAA,B-204,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-22,---,X,---,X,---,X,B-303,SE,B-303,CN,B-303,EE
TUE,CSE-22,---,X,B-306,X,B-306,SE,B-304,DAA,B-304,EE,B-304,X
WED,CSE-22,B-303,EE,B-303,CN,B-303,DAA,---,X,---,X,---,X
THU,CSE-22,A-LH-009,CN,A-DL-002,DAA(L),A-DL-002,DAA(L),A-LH-207,SE,---,X,---,X
FRI,CSE-22,---,X,---,X,---,X,---,X,---,X,---,X
SAT,CSE-22,---,X,A-LH-103,X,A-LH-103,SE,A-DL-002,DAA,A-DL-002,CN(L),A-DL-002,CN(L)
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-23,---,X,B-401,CN,B-401,SE,A-LH-201,DAA,WL-103,CN(L),WL-103,CN(L)
TUE,CSE-23,B-401,SE,B-401,CN,B-401,EE,---,X,---,X,---,X
WED,CSE-23,B-304,CN,B-304,SE,B-304,DAA,---,X,---,X,---,X
THU,CSE-23,---,X,B-306,DAA,B-306,SE,A-LH-103,EE,---,X,---,X
FRI,CSE-23,A-LH-110,EE,A-DL-002,DAA(L),A-DL-002,DAA(L),---,X,---,X,---,X
SAT,CSE-23,---,X,---,X,---,X,---,X,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-24,---,X,---,X,---,X,---,X,---,X,---,X
TUE,CSE-24,---,X,B-402,EE,B-402,SE,A-DL-002,DAA,A-DL-002,CN(L),A-DL-002,CN(L)
WED,CSE-24,B-305,SE,B-305,CN,B-305,X,---,X,---,X,---,X
THU,CSE-24,---,X,B-401,X,B-401,EE,B-303,CN,B-303,SE,B-303,X
FRI,CSE-24,B-404,EE,B-404,DAA,B-404,X,---,X,---,X,---,X
SAT,CSE-24,A-LH-207,SE,A-DL-002,DAA(L),A-DL-002,DAA(L),B-302,DAA,B-302,CN,B-302,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-25,A-LH-009,CN,A-DL-102,DAA(L),A-DL-102,DAA(L),B-304,SE,B-304,EE,B-304,DAA
TUE,CSE-25,---,X,---,X,---,X,---,X,---,X,---,X
WED,CSE-25,B-403,SE,WL-103,CN(L),WL-103,CN(L),---,X,---,X,---,X
THU,CSE-25,---,X,A-LH-202,CN,A-LH-202,EE,A-LH-201,SE,---,X,---,X
FRI,CSE-25,---,X,B-405,EE,B-405,DAA,---,X,---,X,---,X
SAT,CSE-25,---,X,B-303,X,B-303,SE,B-303,DAA,B-303,CN,B-303,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-26,B-402,CN,B-402,SE,B-402,EE,---,X,---,X,---,X
TUE,CSE-26,A-LH-004,CN,A-DL-102,DAA(L),A-DL-102,DAA(L),A-LH-103,EE,---,X,---,X
WED,CSE-26,---,X,---,X,---,X,---,X,---,X,---,X
THU,CSE-26,---,X,A-LH-009,DAA,A-LH-009,SE,A-DL-102,CN,A-DL-102,CN(L),A-DL-102,CN(L)
FRI,CSE-26,B-406,EE,B-406,DAA,B-406,SE,---,X,---,X,---,X
SAT,CSE-26,---,X,A-LH-004,X,A-LH-004,DAA,A-LH-004,SE,---,X,---,X
,,,,,,,,,,,,,
