Roll No.,Professional Elective 1,Professional Elective 2,Core Section
22051078,DMDW_CS-36,DOS_CS-1,CSE-37
22051079,DMDW_CS-30,DOS_CS-13,CSE-42
2205108,DMDW_CS-8,HPC_CS-3,CSE-37
22051080,DMDW_CS-11,HPC_CS-10,CSE-10
22051081,DMDW_CS-1,DOS_CS-30,CSE-01
22051082,DMDW_CS-23,DOS_CS-1,CSE-54
22051083,DMDW_CS-4,DOS_CS-32,CSE-52
22051084,CI_CS-1,DOS_CS-2,CSE-12
22051085,DMDW_CS-11,HPC_CS-2,CSE-30
22051086,DMDW_CS-35,HPC_CS-1,CSE-39
22051087,DMDW_CS-1,DOS_CS-30,CSE-01
22051088,DMDW_CS-36,HPC_CS-4,CSE-49
22051089,DMDW_CS-11,DOS_CS-6,CSE-43
2205109,DMDW_CS-28,HPC_CS-7,CSE-49
22051090,DMDW_CS-4,DOS_CS-19,CSE-29
22051091,DMDW_CS-10,DOS_CS-19,CSE-02
22051092,DMDW_CS-32,DOS_CS-13,CSE-13
22051093,CI_CS-10,DOS_CS-3,CSE-45
22051094,DMDW_CS-8,DOS_CS-14,CSE-44
22051095,DMDW_CS-21,DOS_CS-13,CSE-28
22051096,CI_CS-13,HPC_CS-21,CSE-16
22051097,DMDW_CS-35,DOS_CS-9,CSE-33
22051098,DMDW_CS-25,DOS_CS-9,CSE-45
22051099,DMDW_CS-30,DOS_CS-21,CSE-30
2205110,DMDW_CS-9,DOS_CS-15,CSE-46
22051100,DMDW_CS-9,HPC_CS-17,CSE-28
22051101,CD_CS-2,DOS_CS-2,CSE-17
22051102,DMDW_CS-36,DOS_CS-10,CSE-30
22051103,CI_CS-6,DOS_CS-9,CSE-03
22051104,DMDW_CS-11,HPC_CS-19,CSE-22
22051105,CI_CS-10,HPC_CS-10,CSE-06
22051106,DMDW_CS-19,DOS_CS-9,CSE-03
22051107,CI_CS-11,DOS_CS-28,CSE-06
22051108,DMDW_CS-4,DOS_CS-32,CSE-18
22051109,DMDW_CS-4,DOS_CS-3,CSE-31
2205111,DMDW_CS-15,HPC_CS-15,CSE-46
22051110,DMDW_CS-18,DOS_CS-6,CSE-43
22051111,CD_CS-3,DOS_CS-14,CSE-13
22051112,CI_CS-10,HPC_CS-10,CSE-06
